Kline_open_time,Open_price,High_price,Low_price,Close_price,Volume,Kline_close_time,Quote_asset_volume,Number_of_trades,buy_base_volume,buy_quote_volume,ignore
1711065600000,65501.28000000,65832.00000000,65414.50000000,65789.00000000,667.93637000,1711066499999,43853594.33503990,24775,334.83043000,21991907.45925290,0
1711064700000,65432.72000000,65624.13000000,65432.72000000,65501.27000000,233.23873000,1711065599999,15280215.73116250,16505,105.08573000,6883942.09310680,0
1711063800000,65398.91000000,65473.58000000,65282.00000000,65432.72000000,254.16995000,1711064699999,16626250.59848310,15208,132.54646000,8670623.26506870,0
1711062900000,65480.01000000,65537.56000000,65341.88000000,65398.90000000,193.25191000,1711063799999,12650634.63783050,14878,76.38038000,5000061.42271660,0
1711062000000,65392.20000000,65538.12000000,65304.15000000,65480.01000000,287.67338000,1711062899999,18825494.96776840,16383,106.81621000,6989920.20791910,0
1711061100000,65623.64000000,65647.99000000,65343.23000000,65392.19000000,262.43492000,1711061999999,17179262.36715000,15838,88.26571000,5777883.26823450,0
1711060200000,65561.79000000,65698.00000000,65455.71000000,65623.64000000,238.83488000,1711061099999,15657918.08104800,14838,111.23153000,7293288.31970270,0
1711059300000,65761.61000000,65779.23000000,65355.90000000,65561.79000000,480.99084000,1711060199999,31521456.87606470,21643,187.03727000,12258824.02265680,0
1711058400000,65653.98000000,65857.27000000,65600.00000000,65761.62000000,387.09928000,1711059299999,25450162.04066910,18432,191.40761000,12584749.15244660,0
1711057500000,65398.74000000,65730.00000000,65398.74000000,65653.97000000,216.57318000,1711058399999,14203619.96699510,15082,118.31076000,7759785.22406040,0
1711056600000,65170.00000000,65510.00000000,65170.00000000,65398.75000000,155.11419000,1711057499999,10138062.68842260,14969,75.53565000,4936637.74698980,0
1711055700000,65323.83000000,65586.65000000,65100.00000000,65170.01000000,368.00585000,1711056599999,24065062.01191770,20730,184.70703000,12081466.68293360,0
1711054800000,65479.94000000,65542.52000000,65302.87000000,65323.82000000,297.06002000,1711055699999,19431644.90701370,22412,134.91421000,8825378.83717390,0
1711053900000,65340.00000000,65479.94000000,64962.58000000,65479.93000000,579.86094000,1711054799999,37819174.53841710,27804,272.53336000,17781131.77902140,0
1711053000000,65599.99000000,65670.00000000,65256.12000000,65339.99000000,770.04427000,1711053899999,50353335.84503830,29345,303.54404000,19844359.42875300,0
1711052100000,65481.11000000,65946.66000000,65311.73000000,65600.00000000,911.21567000,1711052999999,59825743.87539140,41175,500.65436000,32874930.56619680,0
